Hora;Minuto;Abertura;Máx;Mín;Fechar;WDOZ6 Curncy - Volume;RSI (14) no fechto (WDOZ6);;;;
17;57;3357;3357,5;3356;3357;378;30,9966;;;;
17;54;3358,5;3358,5;3355,5;3356,5;1477;29,1474;;;;
17;51;3360;3360,5;3358;3358;884;31,4989;;;;
17;48;3361,5;3362;3359,5;3360;820;34,9942;;;;
17;45;3363;3364,5;3361;3361,5;2124;37,9251;;;;
17;42;3364;3364;3363;3363,5;283;42,3127;;;;
17;39;3365,5;3366,5;3363,5;3363,5;854;42,3127;;;;
17;36;3367;3367,5;3365;3365,5;633;47,0013;;;;
17;33;3364;3367,5;3364;3366,5;984;49,5506;;;;
17;30;3362;3365;3361;3364;1543;42,2837;;;;
17;27;3367,5;3368,5;3361,5;3362;2465;35,3678;;;;
17;24;3368;3369;3367,5;3367,5;661;50,9609;;;;
17;21;3367;3369;3367;3368;1124;52,9309;;;;
17;18;3366;3367;3366;3367;244;49,2904;;;;
17;15;3367;3367;3365,5;3366,5;327;47,4017;;;;
17;12;3368;3368,5;3366;3366,5;488;47,4017;;;;
17;9;3367,5;3368;3366,5;3368;394;52,4556;;;;
17;6;3367;3368;3367;3368;287;52,4556;;;;
17;3;3366;3367,5;3366;3367,5;380;50,9526;;;;
17;0;3365;3367;3365;3366;607;46,2162;;;;
16;57;3365;3366,5;3364,5;3365;509;42,7965;;;;
16;54;3366;3367;3365;3365;964;42,7965;;;;
16;51;3365,5;3366,5;3365;3365,5;529;44,0027;;;;
16;48;3369,5;3370;3365,5;3366;2231;45,1852;;;;
16;45;3368;3370;3367;3369,5;1226;54,7489;;;;
16;42;3367;3368;3366,5;3368;624;50,5868;;;;
16;39;3365;3367,5;3365;3367;1036;47,6035;;;;
16;36;3365;3365,5;3364;3365;476;40,9865;;;;
16;33;3364,5;3366;3363,5;3365;832;40,9865;;;;
16;30;3366;3366,5;3364;3365;1344;40,9865;;;;
16;27;3367;3368;3365,5;3366;1421;43,1689;;;;
16;24;3370,5;3372;3367;3367,5;1625;46,6271;;;;
16;21;3369,5;3370;3368,5;3370;381;53,2259;;;;
16;18;3368,5;3370,5;3368,5;3369,5;460;51,9634;;;;
16;15;3370,5;3371,5;3368;3368,5;821;49,4283;;;;
16;12;3368,5;3371;3367,5;3370,5;1143;54,7991;;;;
16;9;3369,5;3370;3368,5;3369;510;51,0986;;;;
16;6;3371,5;3371,5;3368;3369,5;936;52,4271;;;;
16;3;3371,5;3373;3369,5;3371;1930;56,5206;;;;
16;0;3369;3372,5;3368;3371,5;1551;57,9204;;;;
15;57;3369;3369,5;3368;3368,5;542;51,1847;;;;
15;54;3366;3370;3365,5;3369;1563;52,4849;;;;
15;51;3367;3367;3364,5;3366,5;1344;46,1318;;;;
15;48;3368,5;3368,5;3366;3367;904;47,3065;;;;
15;45;3368,5;3370;3367,5;3368,5;1151;50,9184;;;;
15;42;3365,5;3368,5;3365,5;3368;838;49,7304;;;;
15;39;3366,5;3366,5;3364,5;3366;928;44,7647;;;;
15;36;3367,5;3368;3365,5;3366,5;860;45,8153;;;;
15;33;3368,5;3368,5;3365,5;3367,5;1870;47,9032;;;;
15;30;3364,5;3368,5;3364;3368;2504;48,9387;;;;
15;27;3365;3365,5;3362,5;3364,5;1978;40,5915;;;;
15;24;3367;3367;3363;3365;3191;41,4912;;;;
15;21;3369;3372;3366;3367;2813;45,2137;;;;
15;18;3366,5;3370;3366,5;3369;1573;49,3228;;;;
15;15;3367;3368;3366;3367;1051;44,652;;;;
15;12;3369,5;3370,5;3366;3367,5;2130;45,6283;;;;
15;9;3372,5;3372,5;3368,5;3370;1957;50,7833;;;;
15;6;3373;3374,5;3370,5;3372,5;1659;56,7353;;;;
15;3;3372;3374,5;3371;3372,5;2201;56,7353;;;;
15;0;3369,5;3372;3369;3372;1059;55,8428;;;;
14;57;3368;3372;3367,5;3369,5;3285;51,1657;;;;
14;54;3364;3368,5;3363,5;3368,5;1827;49,1657;;;;
14;51;3364;3365,5;3363,5;3364;1094;38,6706;;;;
14;48;3366,5;3366,5;3362;3364;4085;38,6706;;;;
14;45;3371;3371,5;3365,5;3366,5;2860;42,9148;;;;
14;42;3370,5;3371,5;3369,5;3371;1567;52,5558;;;;
14;39;3373,5;3375;3370;3370;1923;50,2495;;;;
14;36;3373;3375;3369,5;3374;3724;61,3214;;;;
14;33;3373,5;3374;3371,5;3373;1057;59,2363;;;;
14;30;3373,5;3375;3371;3374;3126;62,3577;;;;
14;27;3372;3374;3372;3373,5;1872;61,4137;;;;
14;24;3367;3372,5;3367;3372;3339;58,5155;;;;
14;21;3370;3370;3366,5;3367,5;2146;47,5389;;;;
14;18;3370;3371;3368;3370;1991;55,0536;;;;
14;15;3370,5;3371;3369;3370;1692;55,0536;;;;
14;12;3368;3371;3368;3370,5;1330;56,5964;;;;
14;9;3368,5;3369,5;3368;3368;319;50,1045;;;;
14;6;3369;3370;3368;3368,5;1394;51,536;;;;
14;3;3368;3370;3366,5;3369;2041;52,9405;;;;
14;0;3368,5;3370;3368;3368;1829;50,4317;;;;
13;57;3366;3368,5;3365;3368,5;1574;51,7117;;;;
13;54;3367,5;3368,5;3365,5;3366;2039;45,2616;;;;
13;51;3368;3369;3365,5;3367;1816;47,6244;;;;
13;48;3368,5;3370;3368;3368;1932;50,0506;;;;
13;45;3367;3369,5;3365,5;3368,5;2348;51,2631;;;;
13;42;3366;3367,5;3365,5;3367;1643;47,736;;;;
13;39;3364;3366;3363,5;3365,5;1526;43,9708;;;;
13;36;3363,5;3365;3363;3364,5;727;41,3554;;;;
13;33;3364,5;3365,5;3363;3364;904;40,0562;;;;
13;30;3363;3365;3361,5;3364,5;1478;40,8975;;;;
13;27;3364,5;3364,5;3361;3363;1508;37,2248;;;;
13;24;3364;3365;3363,5;3364,5;1110;39,5043;;;;
13;21;3365,5;3365,5;3360,5;3364;2869;38,3355;;;;
13;18;3367,5;3367,5;3365;3365,5;1021;40,5161;;;;
13;15;3365,5;3368,5;3365;3368;1576;44,4272;;;;
13;12;3367;3367;3363,5;3365,5;1244;38,9554;;;;
13;9;3362;3367;3362;3366,5;2630;40,4341;;;;
13;6;3363,5;3363,5;3361,5;3362,5;1132;30,6572;;;;
13;3;3363;3365,5;3363;3363,5;1742;31,8716;;;;
13;0;3364,5;3365,5;3361,5;3363;3442;30,5952;;;;
12;57;3360;3364,5;3359;3364;3338;31,6981;;;;
12;54;3360;3361,5;3358,5;3360,5;2033;22,6338;;;;
12;51;3359;3361;3359;3360;1746;21,2474;;;;
12;48;3358;3359,5;3355;3359;4381;18,5363;;;;
12;45;3360;3361,5;3355,5;3358;7552;15,8462;;;;
12;42;3366;3366;3360;3360,5;4128;17,1618;;;;
12;39;3366,5;3367;3364,5;3365,5;2827;20,2902;;;;
12;36;3371;3371,5;3365,5;3366,5;5755;21,0012;;;;
12;33;3371,5;3372,5;3369,5;3371;1870;24,6036;;;;
12;30;3372;3372,5;3368;3371;4382;24,6036;;;;
12;27;3372;3373,5;3372;3372;977;25,4398;;;;
12;24;3372,5;3373;3370;3372;2030;25,4398;;;;
12;21;3370,5;3374,5;3369,5;3372,5;4111;25,8181;;;;
12;18;3370,5;3373,5;3370;3370,5;2457;21,4815;;;;
12;15;3377,5;3377,5;3370;3370;5053;20,4013;;;;
12;12;3377,5;3378;3374;3377,5;3727;25,2373;;;;
12;9;3382,5;3383;3376;3377,5;5489;25,2373;;;;
12;6;3384,5;3384,5;3380;3382,5;4771;29,2186;;;;
12;3;3387;3387,5;3383;3384,5;2020;31,0373;;;;
12;0;3385;3388;3384;3387;2359;33,4542;;;;
11;57;3384;3386;3383;3385,5;2556;30,4361;;;;
11;54;3387;3387,5;3382,5;3384;4040;27,3777;;;;
11;51;3385;3389,5;3385;3387;4210;29,8119;;;;
11;48;3385,5;3386,5;3384;3385,5;2654;26,7898;;;;
11;45;3388;3388,5;3382,5;3385,5;5600;26,7898;;;;
11;42;3394;3394;3387;3388;6249;28,5568;;;;
11;39;3395;3395,5;3392;3394;2445;33,4775;;;;
11;36;3392,5;3396;3392;3395,5;2803;34,8725;;;;
11;33;3396;3398;3392,5;3392,5;6382;29,4099;;;;
11;30;3401,5;3403,5;3393;3396;9310;32,3493;;;;
11;27;3406,5;3406,5;3398,5;3401;6664;37,2939;;;;
11;24;3409,5;3409,5;3404,5;3406;2479;43,4625;;;;
11;21;3413;3413;3408;3409,5;2235;48,6982;;;;
11;18;3411;3416,5;3410;3413;3628;54,8317;;;;
11;15;3410,5;3411,5;3407,5;3411;1818;51,5969;;;;
11;12;3410,5;3411,5;3408;3410,5;1811;50,7786;;;;
11;9;3412,5;3412,5;3410,5;3410,5;995;50,7786;;;;
11;6;3407;3413;3406,5;3412;3301;53,1008;;;;
11;3;3407,5;3408,5;3406;3407,5;2477;46,2537;;;;
11;0;3411;3411,5;3407,5;3408;2537;46,9611;;;;
10;57;3415;3417;3410,5;3410,5;2981;50,5504;;;;
10;54;3413,5;3416;3412,5;3415;1497;57,9541;;;;
10;51;3413,5;3414,5;3412,5;3413,5;1041;55,9575;;;;
10;48;3412,5;3415;3412,5;3413,5;2080;55,9575;;;;
10;45;3409,5;3414;3409;3413;2169;55,3481;;;;
10;42;3412,5;3413;3409;3409,5;2514;50,9352;;;;
10;39;3416;3416,5;3412;3412;2225;54,5082;;;;
10;36;3417;3419,5;3415;3416;3653;60,8501;;;;
10;33;3415,5;3417,5;3414,5;3417,5;3256;63,4194;;;;
10;30;3410,5;3415,5;3409,5;3415,5;4915;61,4016;;;;
10;27;3406,5;3411;3406,5;3410,5;2503;55,7331;;;;
10;24;3409,5;3411;3406;3406;2615;49,54;;;;
10;21;3410;3410;3408;3409;814;54,2373;;;;
10;18;3408;3410;3407,5;3410;1178;55,8772;;;;
10;15;3405;3410;3404,5;3408;2159;53,2522;;;;
10;12;3407,5;3408;3405;3405,5;960;49,7846;;;;
10;9;3402;3408,5;3402;3408;3769;53,4673;;;;
10;6;3402;3403;3400;3402;2839;44,2819;;;;
10;3;3402;3403,5;3401,5;3401,5;1578;43,4176;;;;
10;0;3404;3404,5;3401,5;3402;3196;44,0521;;;;
9;57;3407;3407;3403,5;3404,5;2011;47,2587;;;;
9;54;3406;3408;3406;3407;1369;50,6846;;;;
9;51;3405;3407;3404,5;3406;2206;49,32;;;;
9;48;3411;3411;3403,5;3405;3996;47,9835;;;;
9;45;3411,5;3413,5;3410,5;3411;1754;56,2478;;;;
9;42;3411,5;3412;3408,5;3411,5;1505;57,0076;;;;
9;39;3408,5;3412,5;3407,5;3411;2628;56,4615;;;;
9;36;3415,5;3415,5;3407;3408,5;4350;53,733;;;;
9;33;3412;3416,5;3411;3415,5;3420;64,1926;;;;
9;30;3411;3412;3408;3412;4119;60,6349;;;;
9;27;3415,5;3416,5;3410,5;3411;3780;59,5691;;;;
9;24;3416;3417,5;3415,5;3416;1563;68,1335;;;;
9;21;3422;3422;3415,5;3416;3452;68,1335;;;;
9;18;3423,5;3424;3420;3422;2652;80,0402;;;;
9;15;3423;3427;3422,5;3423,5;4709;83,4246;;;;
9;12;3421;3423,5;3419,5;3423;2023;83,2048;;;;
9;9;3420;3424;3419,5;3421;2261;82,3347;;;;
9;6;3420;3422;3416,5;3419,5;3223;81,6734;;;;
9;3;3416,5;3424,5;3415;3420;5457;82,6308;;;;
9;0;3415;3420;3410,5;3417;4579;81,4172;;;;
