Hora,Minuto,Abertura,Máx,Mín,Fechar,WDOZ6 Curncy - Volume,RSI (14) no fechto (WDOZ6),,,,
17,57,3275,3276.5,3275,3275.098,441,46.4513,,,,
17,54,3275.5,3275.5,3274.5,3275.098,566,46.4513,,,,
17,51,3276,3276,3275.098,3275.098,128,46.4513,,,,
17,48,3276,3276,3275.098,3275.098,159,46.4513,,,,
17,45,3275.5,3276,3275,3275.098,250,46.4513,,,,
17,42,3275.5,3276,3275,3275.098,249,46.4513,,,,
17,39,3276.5,3276.5,3275,3275.098,424,46.4513,,,,
17,36,3277,3277.5,3275.098,3275.098,108,46.4513,,,,
17,33,3277,3278,3275.098,3275.098,306,46.4513,,,,
17,30,3278,3278,3275,3275.098,1015,46.4513,,,,
17,27,3278,3278,3275.098,3275.098,296,46.4513,,,,
17,24,3277.5,3279,3275.098,3275.098,1023,46.4513,,,,
17,21,3277.5,3278,3275.098,3275.098,329,46.4513,,,,
17,18,3277,3277.5,3275.098,3275.098,263,46.4513,,,,
17,15,3276,3277.5,3275.098,3275.098,512,46.4513,,,,
17,12,3276.5,3276.5,3275.098,3275.098,76,46.4513,,,,
17,9,3276.5,3276.5,3275.098,3275.098,53,46.4513,,,,
17,6,3276,3276.5,3275.098,3275.098,52,46.4513,,,,
17,3,3276,3276.5,3275.098,3275.098,95,46.4513,,,,
17,0,3275,3276,3275,3275.098,368,46.4513,,,,
16,57,3275.5,3276,3275,3275.098,222,46.4513,,,,
16,54,3275.5,3276,3275,3275.5,78,49.5684,,,,
16,51,3275,3275.5,3275,3275.5,158,49.5684,,,,
16,48,3275.5,3276,3275,3275.5,65,49.5684,,,,
16,45,3275.5,3276,3275,3275.5,310,49.5684,,,,
16,42,3276.5,3276.5,3275,3275.5,221,49.5684,,,,
16,39,3276,3276.5,3275.5,3276.5,199,56.0229,,,,
16,36,3276,3276.5,3274.5,3276.5,497,56.0229,,,,
16,33,3277,3277,3275,3275.5,387,50.4608,,,,
16,30,3277.5,3277.5,3276.5,3276.5,204,57.1757,,,,
16,27,3276,3277,3275,3277,613,60.9408,,,,
16,24,3276,3276.5,3275.5,3276,410,55.4985,,,,
16,21,3276,3279,3276,3276.5,2103,59.3371,,,,
16,18,3276.5,3277.5,3276,3276.5,577,59.3371,,,,
16,15,3276,3277,3275.5,3277,242,63.1003,,,,
16,12,3276,3277.5,3275,3276,740,58.174,,,,
16,9,3276,3277.5,3276,3276,872,58.174,,,,
16,6,3275.5,3276,3275,3276,278,58.174,,,,
16,3,3275,3276,3275,3275.5,600,55.8123,,,,
16,0,3275.5,3275.5,3274.5,3275,223,53.3673,,,,
15,57,3275,3276,3274.5,3275.5,424,56.2578,,,,
15,54,3275,3275.5,3274.5,3275.5,252,56.2578,,,,
15,51,3275,3276,3274.5,3275.5,537,56.2578,,,,
15,48,3273.5,3275,3273.5,3275,252,54.2749,,,,
15,45,3274,3274.5,3274,3274,270,50.0716,,,,
15,42,3273.5,3274,3272.5,3274,438,50.0716,,,,
15,39,3274,3274.5,3273,3273,246,45.7735,,,,
15,36,3274,3274.5,3273.5,3274,432,49.7504,,,,
15,33,3274,3275,3272.5,3273.5,1002,47.6382,,,,
15,30,3273.5,3274,3272.5,3274,352,49.5731,,,,
15,27,3274.5,3275,3273.5,3273.5,577,47.5967,,,,
15,24,3273,3274.5,3273,3274,562,49.3944,,,,
15,21,3272,3273.5,3271.5,3273,722,45.577,,,,
15,18,3273,3273,3271,3272,1200,41.4779,,,,
15,15,3274,3274.5,3272,3273,1280,44.597,,,,
15,12,3275,3275,3273.5,3274.5,627,49.8147,,,,
