Hora,Minuto,Abertura,Máx,Mín,Fechar,WDOZ6 Curncy - Volume,RSI (14) no fechto (WDOZ6),,,,
17,57,3298,3311.134,3297,3311.134,604,60.6886,,,,
17,54,3300,3311.134,3296.5,3311.134,2060,60.6886,,,,
17,51,3301.5,3311.134,3300,3311.134,1438,60.6886,,,,
17,48,3302,3311.134,3301,3311.134,372,60.6886,,,,
17,45,3302,3311.134,3301,3311.134,731,60.6886,,,,
17,42,3302.5,3311.134,3301.5,3311.134,523,60.6886,,,,
17,39,3302,3311.134,3301.5,3311.134,918,60.6886,,,,
17,36,3303.5,3311.134,3302,3311.134,1172,60.6886,,,,
17,33,3303.5,3311.134,3303,3311.134,568,60.6886,,,,
17,30,3304,3311.134,3303,3311.134,747,60.6886,,,,
17,27,3304,3311.134,3303,3311.134,442,60.6886,,,,
17,24,3304.5,3311.134,3303,3311.134,1143,60.6886,,,,
17,21,3307.5,3311.134,3304,3311.134,2106,60.6886,,,,
17,18,3308.5,3311.134,3307.5,3311.134,612,60.6886,,,,
17,15,3307.5,3309,3307,3308.5,1196,51.4608,,,,
17,12,3308,3308.5,3307,3308,834,49.3658,,,,
17,9,3305.5,3308,3305.5,3308,749,49.3658,,,,
17,6,3306.5,3307,3305.5,3305.5,452,37.7899,,,,
17,3,3307.5,3308.5,3306.5,3306.5,770,41.2966,,,,
17,0,3306.5,3308,3306,3307.5,1440,45.1906,,,,
16,57,3306,3306.5,3305.5,3306.5,500,39.9311,,,,
16,54,3306,3306.5,3305,3306,740,37.1301,,,,
16,51,3305.5,3306.5,3305.5,3306,546,37.1301,,,,
16,48,3305.5,3306.5,3305,3306,735,37.1301,,,,
16,45,3306,3306.5,3305.5,3306,611,37.1301,,,,
16,42,3305.5,3306.5,3305,3306,290,37.1301,,,,
16,39,3306,3306.5,3305.5,3306,713,37.1301,,,,
16,36,3306,3306.5,3304.5,3306,752,37.1301,,,,
16,33,3306.5,3307,3305,3306,686,37.1301,,,,
16,30,3305,3307.5,3304.5,3306.5,1810,38.1124,,,,
16,27,3305.5,3305.5,3303,3305,1478,33.1885,,,,
16,24,3306.5,3306.5,3305,3305,441,33.1885,,,,
16,21,3306.5,3306.5,3305,3306.5,1012,35.633,,,,
16,18,3307,3308,3305.5,3306,2601,34.1313,,,,
16,15,3304.5,3307,3303.5,3307,3187,35.6771,,,,
16,12,3302.5,3304.5,3301.5,3304.5,2868,28.1199,,,,
16,9,3305,3306,3301,3302,3583,19.3177,,,,
16,6,3307,3308,3304,3305.5,3047,22.9752,,,,
16,3,3309,3309.5,3306.5,3307.5,2548,25.5412,,,,
16,0,3309,3310,3308.5,3309.5,1182,28.4964,,,,
15,57,3310.5,3311,3308.5,3309,3007,26.5228,,,,
15,54,3312,3312.5,3310.5,3311,813,29.5525,,,,
15,51,3312.5,3313,3312,3312.5,714,32.1067,,,,
15,48,3310.5,3313,3310.5,3313,1730,32.9892,,,,
15,45,3316,3316.5,3310,3311,4699,25.3699,,,,
15,42,3316,3316.5,3315,3316,1537,34.4678,,,,
15,39,3317.5,3317.5,3316,3316,704,34.4678,,,,
15,36,3316,3318,3316,3317,1159,36.7398,,,,
15,33,3317,3317.5,3316,3316,953,32.6152,,,,
15,30,3315,3317.5,3315,3317,1259,34.7171,,,,
15,27,3318.5,3318.5,3315,3315.5,2251,28.2792,,,,
15,24,3320.5,3320.5,3317,3318,2607,33.3725,,,,
15,21,3321,3322,3320,3320,1258,38.5272,,,,
15,18,3319,3321,3319,3321,1143,41.5036,,,,
15,15,3320.5,3321,3318.5,3319.5,2554,34.4502,,,,
15,12,3322.5,3323,3320,3320,2480,35.7858,,,,
15,9,3322.5,3323.5,3321,3322.5,1757,43.6411,,,,
15,6,3324,3324.5,3322.5,3322.5,1498,43.6411,,,,
15,3,3323.5,3324.5,3323,3324.5,655,51.4281,,,,
15,0,3324,3324,3323,3323.5,629,47.0408,,,,
14,57,3324,3324.5,3323,3323.5,935,47.0408,,,,
14,54,3322.5,3324,3322.5,3323.5,1212,47.0408,,,,
14,51,3322,3322.5,3321.5,3322.5,1069,42.9121,,,,
14,48,3323,3324,3321,3322,1713,40.7682,,,,
14,45,3322.5,3323,3321.5,3322.5,947,42.2412,,,,
14,42,3323,3324,3322,3322.5,1528,42.2412,,,,
14,39,3321.5,3323,3321.5,3323,1167,43.5996,,,,
14,36,3319.5,3322,3319,3321.5,1701,38.0502,,,,
14,33,3319,3320,3318.5,3320,859,31.821,,,,
14,30,3319.5,3320,3318.5,3319,1788,27.2954,,,,
14,27,3321,3322,3319.5,3319.5,1822,28.1633,,,,
14,24,3323.5,3324.5,3321,3321.5,2383,31.9351,,,,
14,21,3323,3325,3323,3323.5,972,36.4706,,,,
14,18,3325,3325,3323,3323,1708,34.3047,,,,
14,15,3325,3325.5,3324,3324.5,549,37.9047,,,,
14,12,3326.5,3326.5,3324,3325,1213,39.1772,,,,
14,9,3326,3327,3325.5,3326.5,536,43.2192,,,,
14,6,3327,3327.5,3325,3326,2113,41.3462,,,,
14,3,3328.5,3329,3325.5,3327,1858,44.0444,,,,
14,0,3330,3330.5,3328,3329,1368,50.1188,,,,
13,57,3328.5,3330.5,3328.5,3330,1871,53.5475,,,,
13,54,3328.5,3329,3327,3328.5,1251,48.6549,,,,
13,51,3328.5,3330,3327,3328.5,1452,48.6549,,,,
13,48,3328,3329.5,3327.5,3329,1034,50.1738,,,,
13,45,3329,3329.5,3325.5,3328,1588,47.1074,,,,
13,42,3327.5,3329.5,3327,3329,1812,49.9625,,,,
13,39,3326,3327.5,3325.5,3327.5,1223,45.3489,,,,
13,36,3324.5,3326,3324.5,3326,526,40.2316,,,,
13,33,3324.5,3326,3324,3324.5,682,34.5401,,,,
13,30,3326,3326,3323.5,3324.5,1255,34.5401,,,,
13,27,3324.5,3325.5,3324.5,3325.5,805,36.5403,,,,
13,24,3325.5,3327.5,3324,3324.5,2274,32.934,,,,
13,21,3324.5,3326,3324,3326,1672,35.7649,,,,
13,18,3324.5,3325.5,3323,3324,1156,28.1146,,,,
13,15,3324.5,3325.5,3323.5,3324,1351,28.1146,,,,
13,12,3324,3325,3323,3324.5,2434,28.8554,,,,
13,9,3327.5,3327.5,3322,3323.5,3945,25.1948,,,,
13,6,3328.5,3329.5,3326,3327.5,2570,31.1474,,,,
13,3,3333,3333.5,3327.5,3328.5,5334,32.9548,,,,
13,0,3333,3335,3331,3332.5,2792,42.0094,,,,
12,57,3333,3333.5,3330.5,3333.5,2894,44.8714,,,,
12,54,3332.5,3335.5,3332.5,3333,1454,43.0707,,,,
12,51,3333.5,3335.5,3332.5,3333,1856,43.0707,,,,
12,48,3333,3333.5,3332,3333.5,1759,44.3189,,,,
12,45,3334,3336,3332.5,3333.5,2297,44.3189,,,,
12,42,3335,3336.5,3333,3333.5,1612,44.3189,,,,
12,39,3335,3335.5,3333.5,3335,1073,47.6348,,,,
12,36,3336.5,3336.5,3333.5,3335,1444,47.6348,,,,
12,33,3334,3337,3334,3336.5,2280,50.9198,,,,
12,30,3336,3336.5,3332.5,3334,3074,45.0558,,,,
12,27,3337.5,3339,3335.5,3336,1941,49.4442,,,,
12,24,3336.5,3338.5,3335,3337,2104,51.786,,,,
12,21,3337.5,3338,3336,3336.5,930,50.702,,,,
12,18,3337.5,3339,3337,3337,1310,51.7831,,,,
12,15,3335.5,3338,3334.5,3337.5,2254,52.8291,,,,
12,12,3334,3335.5,3333,3335.5,2596,49.0028,,,,
12,9,3337.5,3337.5,3333.5,3334.5,3096,47.0071,,,,
12,6,3336.5,3338,3336,3337.5,1700,52.7587,,,,
12,3,3338.5,3340,3336.5,3337,3268,51.8469,,,,
12,0,3339.5,3341,3337.5,3339,4520,55.851,,,,
11,57,3339,3340,3337.5,3339,1517,55.851,,,,
11,54,3341,3341.5,3338.5,3339,3414,55.851,,,,
11,51,3337,3342.5,3335.5,3341,6240,59.5321,,,,
11,48,3334,3338.5,3333.5,3337,4497,53.8878,,,,
11,45,3334.5,3337,3333.5,3334,3928,48.9268,,,,
11,42,3330.5,3336,3330,3334.5,5063,49.7553,,,,
11,39,3326.5,3331.5,3326.5,3330.5,3257,42.5262,,,,
11,36,3327,3328.5,3325.5,3326,2269,32.3599,,,,
11,33,3327,3328,3325,3327,2945,33.5858,,,,
11,30,3330.5,3334,3326,3327.5,6633,34.1871,,,,
11,27,3328.5,3332,3328,3330.5,3099,37.9751,,,,
11,24,3334,3334,3328.5,3328.5,4191,33.4075,,,,
11,21,3331.5,3334.5,3331,3333.5,3510,40.2962,,,,
11,18,3330,3332.5,3330,3331.5,4119,35.3442,,,,
11,15,3335.5,3336.5,3330,3330.5,5613,32.7547,,,,
11,12,3337.5,3338,3335,3335.5,2760,40.2368,,,,
11,9,3339,3339.5,3336.5,3337.5,2546,43.9673,,,,
11,6,3337.5,3341,3337.5,3339,5527,47.002,,,,
11,3,3338,3338.5,3336,3337,1601,42.0497,,,,
11,0,3337,3338.5,3336.5,3337.5,2413,42.9821,,,,
10,57,3335.5,3338,3335.5,3337.5,1076,42.9821,,,,
10,54,3337,3338,3334,3336,3432,39.5128,,,,
10,51,3335.5,3338.5,3333.5,3337.5,4693,41.879,,,,
10,48,3339,3339.5,3335,3336,5608,38.4568,,,,
10,45,3340.5,3342.5,3338.5,3339.5,4329,44.0803,,,,
10,42,3341.5,3342,3340.5,3341,860,46.8039,,,,
10,39,3344.5,3344.5,3340.5,3341.5,2755,47.7165,,,,
10,36,3346,3346.5,3343.5,3345,1381,54.6416,,,,
10,33,3344.5,3347,3344.5,3346,2498,56.8298,,,,
10,30,3344.5,3345.5,3342.5,3344,3429,53.3612,,,,
10,27,3344.5,3346.5,3344,3344.5,1688,54.3754,,,,
10,24,3343,3347.5,3342.5,3345,7197,55.3523,,,,
10,21,3338.5,3343,3338.5,3343,5842,52.1599,,,,
10,18,3340.5,3341.5,3334.5,3338,6674,42.6388,,,,
10,15,3339,3340.5,3337.5,3340,4040,46.0423,,,,
10,12,3336.5,3339,3336,3339,1773,43.9657,,,,
10,9,3337,3339.5,3335.5,3336,2181,37.2367,,,,
10,6,3335,3339.5,3334.5,3337.5,3886,39.4354,,,,
10,3,3338.5,3339,3332.5,3335,6833,33.3442,,,,
10,0,3340,3340.5,3336.5,3338.5,6575,38.3595,,,,
9,57,3344,3345,3340,3340,2228,40.8018,,,,
9,54,3344,3345,3342.5,3344,1718,48.4383,,,,
9,51,3341.5,3344.5,3341.5,3343.5,3122,47.2933,,,,
9,48,3345.5,3345.5,3340,3342,5456,43.8179,,,,
9,45,3346,3348.5,3344.5,3346,2936,52.3686,,,,
9,42,3348,3348,3343.5,3346,5301,52.3686,,,,
9,39,3349.5,3349.5,3348,3348,1521,57.1791,,,,
9,36,3352,3352,3349,3349,1984,59.7264,,,,
9,33,3350.5,3352.5,3349.5,3352,1780,68.1886,,,,
9,30,3351,3353,3349.5,3350,3518,65.1302,,,,
9,27,3352.5,3353.5,3350,3351,2167,68.1733,,,,
9,24,3352.5,3354.5,3351,3352,2495,71.2651,,,,
9,21,3352,3355.5,3352,3353,3033,74.3982,,,,
9,18,3349.5,3353.5,3349,3352,5468,73.3086,,,,
9,15,3345.5,3350,3345,3349.5,3591,70.3822,,,,
9,12,3340,3345.5,3339.5,3345,3773,63.737,,,,
9,9,3343,3344,3339.5,3339.5,2484,51.3486,,,,
9,6,3345,3345.5,3341,3343.5,3435,66.748,,,,
9,3,3345.5,3347.5,3343,3345,2917,74.5312,,,,
9,0,3345,3346,3340.5,3345,3645,74.5312,,,,
